Entity,Year,Annual CO2 Emissions (per capita),Continent
Africa,1990,1.03304,
Africa,1991,1.0515889,
Africa,1992,0.99396455,
Africa,1993,1.0269243,
Africa,1994,1.1202403,
Africa,1995,1.1676878,
Africa,1996,1.1761504,
Africa,1997,1.1761436,
Africa,1998,1.1716696,
Africa,1999,1.127536,
Africa,2000,1.1373366,
Africa,2001,1.0970197,
Africa,2002,1.0464746,
Africa,2003,1.122038,
Africa,2004,1.156532,
Africa,2005,1.1474754,
Africa,2006,1.1492242,
Africa,2007,1.1514653,
Africa,2008,1.1750045,
Africa,2009,1.1426399,
Africa,2010,1.153414,
Africa,2011,1.1608971,
Africa,2012,1.1321875,
Africa,2013,1.1114453,
Africa,2014,1.1508118,
Africa,2015,1.1003323,
Africa,2016,1.1016515,
Africa,2017,1.0856832,
Africa,2018,1.0491422,
Africa,2019,1.0992943,
Africa,2020,0.9982174,
Africa,2021,1.0311713,
Africa,2022,0.99422127,
Asia,1990,2.0583844,
Asia,1991,2.2653565,
Asia,1992,2.1804879,
Asia,1993,2.2445257,
Asia,1994,2.3132675,
Asia,1995,2.3707252,
Asia,1996,2.4322503,
Asia,1997,2.4314637,
Asia,1998,2.3307304,
Asia,1999,2.4293537,
Asia,2000,2.497625,
Asia,2001,2.5074375,
Asia,2002,2.6111252,
Asia,2003,2.8381112,
Asia,2004,2.9711335,
Asia,2005,3.148226,
Asia,2006,3.3247905,
Asia,2007,3.4574094,
Asia,2008,3.5965998,
Asia,2009,3.6788867,
Asia,2010,3.9091635,
Asia,2011,4.150337,
Asia,2012,4.2622857,
Asia,2013,4.268991,
Asia,2014,4.2966805,
Asia,2015,4.2871428,
Asia,2016,4.2737656,
Asia,2017,4.348663,
Asia,2018,4.445855,
Asia,2019,4.506658,
Asia,2020,4.4004188,
Asia,2021,4.567902,
Asia,2022,4.611434,
Europe,1990,11.133637,
Europe,1991,10.686875,
Europe,1992,9.779539,
Europe,1993,9.364826,
Europe,1994,8.861366,
Europe,1995,8.826845,
Europe,1996,8.891271,
Europe,1997,8.607609,
Europe,1998,8.572088,
Europe,1999,8.461659,
Europe,2000,8.460033,
Europe,2001,8.635014,
Europe,2002,8.589781,
Europe,2003,8.784932,
Europe,2004,8.820896,
Europe,2005,8.800663,
Europe,2006,8.927101,
Europe,2007,8.85035,
Europe,2008,8.725916,
Europe,2009,8.01011,
Europe,2010,8.308571,
Europe,2011,8.192382,
Europe,2012,8.110392,
Europe,2013,7.889541,
Europe,2014,7.567912,
Europe,2015,7.5570736,
Europe,2016,7.5343156,
Europe,2017,7.565342,
Europe,2018,7.5211334,
Europe,2019,7.276999,
Europe,2020,6.731591,
Europe,2021,7.1178274,
Europe,2022,6.8578663,
North America,1990,14.370709,
North America,1991,14.018395,
North America,1992,14.092972,
North America,1993,14.116726,
North America,1994,14.1854725,
North America,1995,14.11542,
North America,1996,14.402925,
North America,1997,14.457618,
North America,1998,14.414986,
North America,1999,14.426215,
North America,2000,14.755113,
North America,2001,14.391762,
North America,2002,14.327525,
North America,2003,14.394876,
North America,2004,14.4324,
North America,2005,14.365811,
North America,2006,14.083263,
North America,2007,14.132756,
North America,2008,13.537301,
North America,2009,12.491138,
North America,2010,12.761778,
North America,2011,12.449388,
North America,2012,11.982627,
North America,2013,12.10214,
North America,2014,12.049802,
North America,2015,11.67997,
North America,2016,11.321468,
North America,2017,11.131459,
North America,2018,11.3473015,
North America,2019,11.06931,
North America,2020,9.889759,
North America,2021,10.459453,
North America,2022,10.5346775,
Oceania,1990,11.675661,
Oceania,1991,11.552641,
Oceania,1992,11.632508,
Oceania,1993,11.619066,
Oceania,1994,11.630621,
Oceania,1995,11.850443,
Oceania,1996,11.953363,
Oceania,1997,12.122406,
Oceania,1998,12.386753,
Oceania,1999,12.559897,
Oceania,2000,12.614959,
Oceania,2001,12.746045,
Oceania,2002,12.715098,
Oceania,2003,12.802911,
Oceania,2004,13.0159855,
Oceania,2005,12.965511,
Oceania,2006,12.925481,
Oceania,2007,12.91627,
Oceania,2008,12.778498,
Oceania,2009,12.534983,
Oceania,2010,12.276805,
Oceania,2011,12.037038,
Oceania,2012,11.928909,
Oceania,2013,11.536463,
Oceania,2014,11.247753,
Oceania,2015,11.272197,
Oceania,2016,11.280381,
Oceania,2017,11.201084,
Oceania,2018,11.082192,
Oceania,2019,10.930183,
Oceania,2020,10.24328,
Oceania,2021,9.883469,
Oceania,2022,9.85179,
South America,1990,2.0173042,
South America,1991,2.0056453,
South America,1992,2.0096579,
South America,1993,2.0865347,
South America,1994,2.060601,
South America,1995,2.1290908,
South America,1996,2.1872687,
South America,1997,2.2939594,
South America,1998,2.4339483,
South America,1999,2.3580356,
South America,2000,2.3227668,
South America,2001,2.23338,
South America,2002,2.2826743,
South America,2003,2.2558794,
South America,2004,2.327948,
South America,2005,2.3666465,
South America,2006,2.4138668,
South America,2007,2.4787736,
South America,2008,2.5664637,
South America,2009,2.472054,
South America,2010,2.7291338,
South America,2011,2.7435672,
South America,2012,2.853074,
South America,2013,2.9844196,
South America,2014,3.0044835,
South America,2015,2.8904772,
South America,2016,2.7620711,
South America,2017,2.6947637,
South America,2018,2.5143125,
South America,2019,2.4930851,
South America,2020,2.2294097,
South America,2021,2.50236,
South America,2022,2.4865332,
